customer_id,gender,age,region,tenure_months,contract_type,payment_method,internet_service,customer_segment,monthly_charges,total_charges,usage_hours,support_tickets,satisfaction_score,churn
CUST1101,Female,40.0,East,32,One-Year,Electronic Check,Fiber,Basic,52.72,1731.24,81.9,3,7.6,0
CUST1260,Male,42.0,West,72,Two-Year,,Fiber,Premium,102.57,7379.27,96.0,2,7.4,0
CUST1777,Male,48.0,West,6,Month-to-Month,,DSL,Standard,57.14,330.91,25.1,4,6.9,1
CUST1109,Female,39.0,West,20,One-Year,Bank Transfer,Fiber,Standard,81.54,1678.72,53.5,3,7.8,0
CUST1649,Male,54.0,East,10,Month-to-Month,UPI,Fiber,Basic,42.6,424.52,60.7,6,5.5,1
CUST1735,Female,34.0,North,15,One-Year,Electronic Check,DSL,Premium,74.58,1141.62,12.1,0,7.1,0
CUST1332,Female,28.0,East,68,One-Year,Credit Card,Fiber,Standard,84.21,5724.49,28.0,1,9.2,0
CUST1049,Male,36.0,West,34,One-Year,UPI,DSL,Standard,58.77,2208.55,13.8,2,7.9,0
CUST1461,Male,36.0,East,72,One-Year,Bank Transfer,DSL,Standard,61.96,4950.06,22.4,3,8.1,0
CUST1980,Female,35.0,West,26,Month-to-Month,Bank Transfer,No Internet,Premium,76.57,1835.4,11.5,2,6.8,0
CUST1453,Male,28.0,North,56,Month-to-Month,Credit Card,DSL,Basic,28.98,1621.85,39.5,1,10.0,0
CUST1558,Female,53.0,West,8,Month-to-Month,Credit Card,Fiber,Premium,101.18,793.47,41.5,3,6.7,0
CUST1155,Female,49.0,North,55,One-Year,Credit Card,Fiber,Basic,45.35,2529.5,29.7,2,10.0,0
CUST1423,Male,44.0,North,72,Two-Year,UPI,Fiber,Premium,106.12,7577.53,77.5,2,9.1,0
CUST1881,Female,31.0,North,7,Month-to-Month,Bank Transfer,Fiber,Standard,74.12,489.56,35.5,4,6.1,1
CUST1078,Female,24.0,West,10,Month-to-Month,Electronic Check,Fiber,Basic,47.5,456.38,46.8,0,9.9,0
