application_id,gender,age,region,education,employment_type,employment_years,income_monthly,loan_amount,loan_term_months,loan_purpose,interest_rate,emi,emi_to_income,bureau_score,credit_utilization,num_credit_lines,num_inquiries_6m,num_delinquencies_2y,months_since_last_delinq,oldest_account_months,revolving_balance,total_debt,debt_to_income,app_logins_30d,avg_txn_value,num_bounced_payments,default
LN204412,Female,47,Tier-3,Graduate,Salaried,12.0,26125.0,245867.0,36,Debt-Consolidation,16.99,8765.0,0.336,798.0,0.173,8,0,0,,84.0,43398.0,109452.0,0.349,15.0,277.0,0,0
LN210472,Female,52,Rural,Graduate,Contract,7.4,20912.0,128834.0,36,Debt-Consolidation,19.65,4765.0,0.228,605.0,0.763,7,3,1,23.0,56.0,57349.0,140099.0,0.558,7.0,748.0,1,0
LN205032,Male,60,Tier-2,Graduate,Gig-Worker,0.4,,70605.0,60,Home-Improvement,17.37,1769.0,0.082,669.0,0.368,0,3,1,9.0,86.0,141668.0,173146.0,0.671,11.0,537.0,0,0
LN202611,Female,54,Metro,Post-Graduate,Salaried,10.1,79444.0,514098.0,48,Home-Improvement,16.69,14752.0,0.186,743.0,0.466,5,4,2,12.0,100.0,159462.0,659725.0,0.692,9.0,3477.0,0,0
LN201562,Female,59,Tier-3,Graduate,Self-Employed,1.5,18869.0,47359.0,36,Debt-Consolidation,19.47,1747.0,0.093,609.0,0.605,3,3,1,49.0,68.0,97524.0,130782.0,0.578,10.0,789.0,0,0
LN206580,Female,51,Rural,Diploma,Salaried,4.8,22266.0,53551.0,24,Business,15.16,2601.0,0.117,666.0,0.398,2,0,0,,114.0,180214.0,230147.0,0.861,7.0,751.0,0,0
LN200518,Male,47,Metro,Diploma,Self-Employed,18.3,62603.0,665072.0,36,Debt-Consolidation,15.52,23225.0,0.371,718.0,0.345,5,1,2,12.0,87.0,85548.0,542206.0,0.722,22.0,5245.0,0,0
LN205220,Male,48,Tier-2,,Salaried,30.4,67353.0,733158.0,36,Home-Improvement,15.78,25696.0,0.382,720.0,0.239,3,1,2,9.0,107.0,42505.0,526190.0,0.651,16.0,3426.0,0,0
LN207772,Male,69,Tier-3,Post-Graduate,Salaried,,43500.0,262845.0,60,Home-Improvement,16.44,6453.0,0.148,561.0,0.654,3,3,1,11.0,72.0,76966.0,300151.0,0.575,1.0,3486.0,2,1
LN209156,Male,48,Metro,Graduate,Salaried,3.8,62793.0,245701.0,12,Medical,18.37,22569.0,0.359,594.0,0.43,4,2,1,13.0,44.0,142929.0,270587.0,0.359,6.0,4268.0,1,0
LN202127,Male,46,Metro,Graduate,Self-Employed,4.9,75325.0,272910.0,36,Business,20.4,10198.0,0.135,531.0,0.565,2,4,0,,134.0,206678.0,379252.0,0.42,1.0,1136.0,1,0
LN200218,Female,45,Metro,Graduate,Self-Employed,0.5,54035.0,297041.0,48,Education,16.19,8447.0,0.156,690.0,0.326,4,1,3,10.0,91.0,164790.0,261229.0,0.403,,1441.0,0,0
